[21-Feb-2023 01:43:08 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:43:15 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:43:19 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:43:25 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:47:18 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:47:36 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:50:12 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:50:18 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:50:21 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
[21-Feb-2023 01:52:39 UTC] PHP Notice:  Function is_main_query was called <strong>incorrectly</strong>. In <code>pre_get_posts</code>, use the <code>WP_Query->is_main_query()</code> method, not the <code>is_main_query()</code> function. See https://developer.wordpress.org/reference/functions/is_main_query/. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.7.0.) in /Applications/XAMPP/xamppfiles/htdocs/fictional-university/wp-includes/functions.php on line 5835
